100,4
mid1,mid2,mid3,final
94.98,63.49,40.63,41.31
87.14,32.68,54.55,71.27
54.36,64.01,41.36,40.38
75.95,31.11,0,60.96
29.16,53.35,72.95,63.14
66.76,81.77,22.7,44.09
62.64,62.71,88.79,57.24
52.42,59.96,29.42,85.98
45.78,81.9,37.85,56.15
92.85,48.43,66.31,63.07
53.98,35.92,81.61,65.27
62.52,52.85,16.74,59.15
53.32,53.69,63.81,53.92
100,89.08,34.95,63.72
32.31,35.01,68.56,67.13
62.02,81.61,56.87,58.51
21.82,80.09,49.06,41.85
65.15,84.54,94.3,54.8
77.9,52.75,90.67,70.49
63.65,55.49,54.18,40.78
77.5,73.45,45.98,29.66
57.53,53.22,77.42,37.64
66.78,52.87,69.46,35.49
85.31,41.03,54.27,58.95
78.71,28.95,59.74,47.68
65.41,89.18,50.92,60.59
40,66.61,53.88,85.54
43.2,48.2,69.07,74.75
68,40.2,26.45,41.67
75.94,54.99,4.15,82.01
61.13,42.43,62.91,59.82
84.82,53.84,64.04,40.43
74.96,61.67,23.43,40.03
52.48,72.26,30.91,51.56
86.69,58.86,35.99,60.31
56.47,70.99,46.22,50.48
58.08,53.49,30.8,29.81
50.24,54.21,86.87,69.08
66.2,57.54,64.26,50.24
84.48,45.63,35.05,68.64
50.3,74.73,57.57,24.08
60.01,26.75,7.76,10.96
92.82,50.31,28.09,62.59
48.03,29.99,37.36,12.15
69.77,43.16,22.49,26.63
92.88,85.35,14.51,40.12
50.25,78.9,31.44,45.79
52.11,35.49,7.77,0
39.77,63.92,67.26,32.18
84.06,49.53,49.04,64.54
45.66,25.43,85.51,73.99
33.06,35.02,40.16,60.83
78.45,49.21,61.54,50.99
67.84,45.93,67.87,46.3
79.38,74.36,10.45,48.03
82.13,36.85,33.68,56.89
51.47,57.71,100,41.43
20.35,36.26,71.97,34.58
85.78,43.5,100,46.4
62.76,63.37,59.57,28.46
72,50.12,50.8,22.96
37.99,53.79,14.29,57.31
59.87,51.28,100,28.35
68.37,78.25,10,50.73
59.86,69.33,89.31,27.52
91.59,45.02,0,45.62
72.36,48.96,41.19,30.55
47.43,62.07,86.71,92.06
66.42,55.13,37.85,71.66
40.49,34.02,58.97,36.39
90.62,72.2,78.24,100
33.61,78.12,78.3,74.19
62.62,66.84,14.49,56.15
81.52,80.64,83,57.84
69.11,69.59,28.15,19.49
86.39,50.39,45.57,42.25
46.88,67.81,53.45,29.84
18.12,65.74,9.12,45.9
64.92,53.74,61,45.03
47.41,42.37,27.58,38.22
60.63,60.66,65.16,15.8
68.2,62.4,86.98,54.49
54.07,56.75,46.74,36.88
52.64,56.4,21.79,58.27
44.87,70.18,8.89,52.61
44.38,53.42,0,44.69
41.54,27.02,42.48,48.26
80.5,51.19,100,63.24
58.42,69.39,49.47,13.15
49.06,65.72,77.06,10.3
78.33,57.28,81.5,49.82
49.25,75.49,54.05,69.39
62.05,66.75,64.72,44.24
59.87,54.27,96.66,42.5
53.23,55.09,12.54,94.3
30.25,96.41,61.81,12.19
66.8,76.66,100,67.29
94.05,66.63,90.63,31.53
41.1,78.76,85.93,77.42
81.06,51.06,37.95,25.14
