Price,Type,Living_space,Bedrooms,Bathrooms,Year_built,Year_renovated
12000,Farmhouse,67,1,1,1800,1967
17000,Farmhouse,68,2,1,1900,2005
29000,Farmhouse,90,2,1,1920,2015
29500,Mid-terrace house,117,4,1,1910,1996
29500,Mid-terrace house,60,1,1,1900,1997
29500,Mid-terrace house,72,2,1,1960,2018
29500,Single dwelling,72,2,1,1960,2018
29990,Mid-terrace house,120,3,1,1940,2017
30000,Mid-terrace house,104,1,1,1870,2000
30000,Farmhouse,80,1,1,1900,2010
30300,Mid-terrace house,128.3,3,1,1850,1999
30310,Farmhouse,150,6,1,1950,2004
32000,Mid-terrace house,55,1,1,1900,1995
33000,Farmhouse,70,3,1,1900,1990
33000,Farmhouse,70,3,1,1900,1990
35000,Mid-terrace house,133,3,1,1900,1970
35000,Mid-terrace house,133,3,1,1900,1970
35000,Corner house,71,1,1,1850,1994
36000,Mid-terrace house,42,2,1,2019,2019
38000,Mid-terrace house,115,3,1,1850,1992
38000,Farmhouse,110,2,1,1900,1995
38500,Multiple dwelling,87,2,1,1926,2014
39000,Mid-terrace house,150,7,2,1906,2018
39984,Mid-terrace house,117,3,1,1850,1996
40000,Single dwelling,115,1,1,1920,2000
40000,Mid-terrace house,90,3,1,1918,2002
42000,Mid-terrace house,90,3,1,1974,2004
43000,Mid-terrace house,115,2,1,1800,2008
44000,Farmhouse,97,2,1,1936,1995
44000,Duplex,244,7,3,1890,2016
45000,Special property,80.96,3,1,1980,1994
45000,Mid-terrace house,105,2,1,1900,1996
45000,Mid-terrace house,65,1,1,1923,2007
48000,Mid-terrace house,72,1,1,1900,1994
49000,Single dwelling,70,3,1,1840,2015
49500,Duplex,270,6,3,1901,2016
49500,Mid-terrace house,160,2,1,1940,2019
49900,Special property,40,1,1,1977,2003
50000,Mid-terrace house,85,1,1,1900,2012
50000,Mid-terrace house,105,2,1,1930,2018
50000,Single dwelling,85,1,1,1920,2018
52000,Single dwelling,102,3,1,1928,1976
54000,Mid-terrace house,97,1,1,1920,1995
54450,Mid-terrace house,115,3,1,1800,2008
55000,Single dwelling,90,3,2,1938,1990
55000,Multiple dwelling,100,2,1,1820,1995
55000,Mid-terrace house,115,1,1,1900,1996
55000,Single dwelling,140,3,2,1925,2008
55000,Mid-terrace house,170,4,2,1930,2012
55000,Mid-terrace house,170,4,2,1930,2012
55000,Duplex,170,4,2,1930,2012
55000,Farmhouse,90,1,1,1900,2016
56000,Mid-terrace house,74,1,1,1886,2000
56000,Mid-terrace house,96,1,1,1895,2003
56500,Mid-terrace house,100,2,2,1880,1997
57000,Mid-terrace house,75,1,1,1951,2019
59000,Mid-terrace house,145,3,2,1950,1985
59000,Mid-terrace house,120,2,1,1988,1988
59000,Mid-terrace house,97,2,1,1915,1993
59000,Farmhouse,120,3,1,1900,1995
59000,Multiple dwelling,150,3,1,1900,1995
59000,Mid-terrace house,110,1,1,1721,1999
59000,Mid-terrace house,112,2,1,1900,2001
59000,Farmhouse,115,3,1,1933,2011
59000,Duplex,303,7,3,1701,2017
60000,Multiple dwelling,118,3,1,1850,1994
60000,Farmhouse,116,2,2,1900,1999
60000,Farmhouse,80,2,1,1920,2000
60000,Duplex,380,6,7,1950,2012
60000,Mid-terrace house,110,2,1,1930,2017
60000,Mid-terrace house,120,3,1,1857,2017
62000,Mid-terrace house,99.5,1,1,1890,2000
63000,Mid-terrace house,121,2,2,1930,1995
65000,Corner house,261,6,2,1850,1995
65000,Mid-terrace house,105,3,1,1900,1996
65000,Multiple dwelling,136,1,1,1930,1998
65000,Farmhouse,88.9,1,1,1905,2000
65000,Mid-terrace house,90,4,1,1928,2005
65000,Single dwelling,115,4,1,1960,2010
65000,Single dwelling,60,2,1,1920,2012
65000,Mid-terrace house,180,5,3,1853,2015
65500,Corner house,212,6,2,1908,2008
67000,Mid-terrace house,120,2,2,1904,1980
68000,Multiple dwelling,100,3,2,1900,2005
68000,Mid-terrace house,55,1,1,1876,2016
69000,Single dwelling,86,2,1,1950,1971
69000,Farmhouse,140,4,1,1914,1983
69000,Duplex,158,5,2,1730,1994
69000,Mid-terrace house,170,4,1,1848,1995
69000,Multiple dwelling,90,2,1,1910,2008
69000,Mid-terrace house,125,3,2,1920,2015
69000,Special property,70,3,1,1968,2017
69000,Mid-terrace house,180,5,1,1953,2017
69000,Corner house,100,2,1,1900,2017
69000,Farmhouse,110,2,2,1920,2018
69000,Single dwelling,74,3,1,1960,2019
69900,Mid-terrace house,180,4,2,1900,1969
69900,Duplex,477,8,6,1903,1971
69999,Duplex,200,8,4,1920,2000
70000,Corner house,174,2,1,1829,1994
70000,Mid-terrace house,92,2,2,1920,2002
72000,Mid-terrace house,96,1,1,1995,1997
72600,Single dwelling,75,1,1,1936,2011
73000,Single dwelling,106,3,2,1898,2018
73500,Mid-terrace house,180,5,3,1903,2017
74000,Multiple dwelling,105,1,1,1936,1993
74000,Multiple dwelling,200,4,2,1898,2000
74000,Mid-terrace house,76,3,1,1940,2006
75000,Corner house,100,2,2,1869,1950
75000,Mid-terrace house,103,3,1,1900,1988
75000,Duplex,131,3,2,1929,1996
77000,Mid-terrace house,100,3,1,1924,2010
77000,Special property,70,2,1,1975,2019
