mt1,mt2,mt3,final
36,37,41,79
34,65,58,78
24,60,34,84
41,89,57,69
23,86,42,59
32,64,89,80
71,90,62,75
32,94,87,58
82,70,37,19
37,84,6,38
33,16,49,82
42,64,7,99
48,86,57,19
29,89,31,36
12,91,67,10
40,100,46,65
47,35,63,90
19,64,60,22
28,89,39,42
57,95,27,6
80,77,20,3
20,87,5,23
83,26,18,68
48,98,49,22
67,25,15,59
66,97,91,93
85,86,82,96
20,22,37,12
28,21,85,91
24,68,18,62
67,20,70,46
58,81,96,97
32,84,6,92
24,47,52,27
76,7,70,14
32,93,5,38
51,44,51,7
39,20,29,71
11,76,50,83
61,97,19,1
17,26,40,13
31,67,59,33
65,86,92,89
39,70,20,64
81,86,37,35
2,50,35,1
42,18,33,10
0,0,20,10
45,13,33,12
15,13,40,63
48,80,26,67
47,97,80,43
9,89,21,57
66,87,86,96
81,95,36,93
36,65,57,36
27,73,61,65
31,42,77,89
21,70,24,35
0,0,0,0
10,75,57,95
76,40,42,84
47,36,35,77
89,95,90,92
14,48,66,45
34,73,10,37
10,72,85,20
83,48,31,21
1,65,26,22
15,60,71,7
100,100,100,100
27,92,98,71
54,60,41,5
84,40,12,71
61,19,12,25
70,40,15,33
97,53,9,48
38,60,40,52
90,99,51,90
21,35,64,61
98,78,24,52
34,56,47,55
41,53,2,7
27,55,4,93
47,60,60,5
19,81,69,84
79,73,41,62
45,21,94,75
28,52,56,37
49,81,53,100
10,60,11,33
46,63,4,24
0,60,40,43
28,18,44,54
17,86,10,0
16,48,91,97
6,19,49,3
42,55,92,62
9,53,35,75
13,78,40,53
8,36,75,99
